"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate","Stage1","Stage2","Stage3","Stage4","Sector1","Sector2","Prediction","Corret","Error"
"290","603322.SH","超讯通信",2016-07-28,TRUE,18,37.037037037037,22.98,5.61,0.0224,0,0,0,0,1,0,14.7936278005426,FALSE,-3.20637219945738
"291","002806.SZ","华锋股份",2016-07-26,TRUE,24,22.2222222222222,22.96,4.07,0.0184,0,0,0,0,0,0,14.2945525122009,FALSE,-9.70544748779913
"292","300523.SZ","辰安科技",2016-07-26,TRUE,19,58.8235294117647,22.99,8.92,0.0208,0,0,0,0,0,1,14.678172651562,FALSE,-4.32182734843802
"293","300525.SZ","博思软件",2016-07-26,TRUE,22,24.081115335868,22.99,5.81,0.0191,0,0,0,0,0,1,13.3406539635334,FALSE,-8.65934603646657
"294","300517.SZ","海波重科",2016-07-19,TRUE,17,23.0630630630631,22.97,5.37,0.0371,0,0,0,0,0,1,13.3170665490611,TRUE,-3.68293345093889
"295","603069.SH","海汽集团",2016-07-12,TRUE,17,23.5820895522389,18.2,3.07,0.0755,0,0,0,0,1,0,14.9739336452282,FALSE,-2.02606635477183
"296","002803.SZ","吉宏股份",2016-07-12,TRUE,20,25.6637168141595,22.84,3.37,0.0332,0,0,0,0,0,0,15.3180602390865,FALSE,-4.68193976091346
"297","300520.SZ","科大国创",2016-07-08,TRUE,21,28.3950617283949,22.84,5.02,0.0353,0,0,0,0,0,1,14.2023353511354,FALSE,-6.7976646488646
"298","002805.SZ","丰元股份",2016-07-07,TRUE,22,16.5781731098186,22.97,5.37,0.0313,0,0,0,0,0,0,12.4080770949536,FALSE,-9.59192290504644
"299","601966.SH","玲珑轮胎",2016-07-06,TRUE,9,20.8472314876584,22.97,5.71,0.1351,0,0,0,0,1,0,12.0637682795605,FALSE,3.06376827956046
"300","300521.SZ","爱司凯",2016-07-05,TRUE,17,43.4782608695652,22.98,5.24,0.0219,0,0,0,0,0,1,15.5992652468348,TRUE,-1.40073475316519
"301","300522.SZ","世名科技",2016-07-05,TRUE,4,21.9342105263159,22.98,7.64,0.0204,0,0,0,0,0,1,12.2103038451979,FALSE,8.21030384519787
"302","603016.SH","新宏泰",2016-07-01,TRUE,15,23.0095640293132,19.3,5.05,0.0478,0,0,0,0,1,0,13.4209205355159,FALSE,-1.57907946448407
"303","603958.SH","哈森股份",2016-06-29,TRUE,14,18.3605438821703,22.98,5.02,0.0577,0,0,0,0,1,0,12.6959303741862,FALSE,-1.30406962581381
"304","002802.SZ","洪汇新材",2016-06-29,TRUE,17,14.6563890999891,22.98,4.23,0.0344,0,0,0,0,0,0,12.7663069920073,FALSE,-4.23369300799272
"305","603909.SH","合诚股份",2016-06-28,TRUE,18,22.3214285714286,21,5.62,0.041,0,0,0,0,1,0,13.0419396499302,FALSE,-4.95806035006981
"306","300518.SZ","盛讯达",2016-06-24,TRUE,19,18.526750277822,22.68,10.13,0.0385,0,0,0,0,0,1,10.8510169434754,FALSE,-8.14898305652464
"307","300519.SZ","新光药业",2016-06-24,TRUE,21,37.7287304282211,8.26,6.51,0.0235,0,0,0,0,0,1,14.3167353599788,FALSE,-6.68326464002115
"308","002801.SZ","微光股份",2016-06-22,TRUE,19,27.2088724584106,15.24,11.16,0.018,0,0,0,0,0,0,11.7045086394461,FALSE,-7.29549136055388
"309","601127.SH","小康股份",2016-06-15,TRUE,18,21.1738484398215,18.19,3.74,0.1102,0,0,0,0,1,0,13.6306545952589,FALSE,-4.36934540474108
"310","002799.SZ","环球印务",2016-06-08,TRUE,22,25.7731958762887,22.99,4.88,0.0343,0,0,0,0,0,0,14.0007719837813,FALSE,-7.99922801621869
"311","300515.SZ","三德科技",2016-06-08,TRUE,19,24.500196001568,22.98,4.11,0.039,0,0,0,0,0,1,14.3911083030674,FALSE,-4.60889169693261
"312","603131.SH","上海沪工",2016-06-07,TRUE,22,21.253081696846,22.98,5.51,0.0417,0,0,0,0,1,0,12.9553469899676,FALSE,-9.0446530100324
"313","601611.SH","中国核建",2016-06-06,TRUE,16,12.6455746510423,15.6,2.97,0.2798,0,0,0,0,1,0,11.5493097762969,FALSE,-4.45069022370313
"314","603737.SH","三棵树",2016-06-03,TRUE,18,16.1290322580645,18.09,8.83,0.0415,0,0,0,0,1,0,10.8552333767628,FALSE,-7.14476662323719
"315","300516.SZ","久之洋",2016-06-02,TRUE,18,19.9097425006635,22.98,8.52,0.0429,0,0,0,0,0,1,11.4717178362344,FALSE,-6.52828216376564
"316","002800.SZ","天顺股份",2016-05-30,TRUE,23,11.7758305490764,19.77,5.01,0.0203,0,0,0,0,0,0,11.7649035567928,FALSE,-11.2350964432072
"317","300513.SZ","恒泰实达",2016-05-30,TRUE,22,15.4444534478568,22.98,6.61,0.0236,0,0,0,0,0,1,11.6650242612451,FALSE,-10.3349757387549
"318","300512.SZ","中亚股份",2016-05-26,TRUE,12,16.07295932946,22.96,8.69,0.0461,0,0,0,0,0,1,10.8578313721086,FALSE,-1.14216862789143
"319","002798.SZ","帝王洁具",2016-05-25,TRUE,19,10.991807032721,22.98,6.5,0.0341,0,0,0,0,0,0,10.7787145218015,FALSE,-8.22128547819846
