"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"295","603069.SH","海汽集团","2016-07-12",TRUE,17,23.5820895522389,18.2,3.07,0.0755
"296","002803.SZ","吉宏股份","2016-07-12",TRUE,20,25.6637168141595,22.84,3.37,0.0332
"297","300520.SZ","科大国创","2016-07-08",TRUE,21,28.3950617283949,22.84,5.02,0.0353
"298","002805.SZ","丰元股份","2016-07-07",TRUE,22,16.5781731098186,22.97,5.37,0.0313
"299","601966.SH","玲珑轮胎","2016-07-06",TRUE,9,20.8472314876584,22.97,5.71,0.1351
"300","300521.SZ","爱司凯","2016-07-05",TRUE,17,43.4782608695652,22.98,5.24,0.0219
"301","300522.SZ","世名科技","2016-07-05",TRUE,4,21.9342105263159,22.98,7.64,0.0204
"302","603016.SH","新宏泰","2016-07-01",TRUE,15,23.0095640293132,19.3,5.05,0.0478
"303","603958.SH","哈森股份","2016-06-29",TRUE,14,18.3605438821703,22.98,5.02,0.0577
"304","002802.SZ","洪汇新材","2016-06-29",TRUE,17,14.6563890999891,22.98,4.23,0.0344
"305","603909.SH","合诚股份","2016-06-28",TRUE,18,22.3214285714286,21,5.62,0.041
"306","300518.SZ","盛讯达","2016-06-24",TRUE,19,18.526750277822,22.68,10.13,0.0385
"307","300519.SZ","新光药业","2016-06-24",TRUE,21,37.7287304282211,8.26,6.51,0.0235
"308","002801.SZ","微光股份","2016-06-22",TRUE,19,27.2088724584106,15.24,11.16,0.018
"309","601127.SH","小康股份","2016-06-15",TRUE,18,21.1738484398215,18.19,3.74,0.1102
"310","002799.SZ","环球印务","2016-06-08",TRUE,22,25.7731958762887,22.99,4.88,0.0343
"311","300515.SZ","三德科技","2016-06-08",TRUE,19,24.500196001568,22.98,4.11,0.039
"312","603131.SH","上海沪工","2016-06-07",TRUE,22,21.253081696846,22.98,5.51,0.0417
"313","601611.SH","中国核建","2016-06-06",TRUE,16,12.6455746510423,15.6,2.97,0.2798
"314","603737.SH","三棵树","2016-06-03",TRUE,18,16.1290322580645,18.09,8.83,0.0415
"315","300516.SZ","久之洋","2016-06-02",TRUE,18,19.9097425006635,22.98,8.52,0.0429
"316","002800.SZ","天顺股份","2016-05-30",TRUE,23,11.7758305490764,19.77,5.01,0.0203
"317","300513.SZ","恒泰实达","2016-05-30",TRUE,22,15.4444534478568,22.98,6.61,0.0236
"318","300512.SZ","中亚股份","2016-05-26",TRUE,12,16.07295932946,22.96,8.69,0.0461
"319","002798.SZ","帝王洁具","2016-05-25",TRUE,19,10.991807032721,22.98,6.5,0.0341
"320","603339.SH","四方冷链","2016-05-19",TRUE,14,11.1221065312795,18.99,5.71,0.0574
"321","603959.SH","百利科技","2016-05-17",TRUE,17,14.5333748572615,22.96,3.43,0.0568
"322","603779.SH","威龙股份","2016-05-16",TRUE,20,11.306051665503,22.45,3.61,0.0532
"323","002797.SZ","第一创业","2016-05-11",TRUE,6,6.11129249650466,22.99,3.83,0.1239
"324","002796.SZ","世嘉科技","2016-05-10",TRUE,11,13.2687587076229,22.33,6.05,0.0206
"325","603101.SH","汇嘉时代","2016-05-06",TRUE,8,11.1094652644053,22.98,4.64,0.0605
"326","300510.SZ","金冠电气","2016-05-06",TRUE,10,34.0624999999996,22.99,6.34,0.0391
"327","300511.SZ","雪榕生物","2016-05-04",TRUE,9,32.7196579705083,22.98,8.05,0.0475
"328","603528.SH","多伦科技","2016-05-03",TRUE,18,17.5686701115039,6.41,5.11,0.0588
"329","300507.SZ","苏奥传感","2016-04-29",TRUE,9,18.164977661545,22.99,10.35,0.0221
"330","603822.SH","嘉澳环保","2016-04-28",TRUE,11,15.1652892561983,22.97,8.06,0.0239
"331","002795.SZ","永和智控","2016-04-28",TRUE,9,13.398360040731,22.99,5.4,0.0349
"332","603029.SH","天鹅股份","2016-04-27",TRUE,12,11.2481927710843,22.98,7.26,0.0448
"333","300509.SZ","新美星","2016-04-25",TRUE,11,19.8846689202625,22.98,6.79,0.0246
"334","603726.SH","朗迪集团","2016-04-21",TRUE,12,14.9193548387097,19.23,7.14,0.0422
"335","300508.SZ","维宏股份","2016-04-19",TRUE,15,37.2870662460569,22.98,7.1,0.0319
"336","603868.SH","飞科电器","2016-04-18",TRUE,10,9.95433789954341,16.52,4.21,0.0633
"337","002793.SZ","东音股份","2016-04-15",TRUE,14,15.7054906395276,14.64,5.97,0.0369
"338","603701.SH","德宏股份","2016-04-12",TRUE,14,12.3270440251572,21.6,6.39,0.0271
"339","603798.SH","康普顿","2016-04-06",TRUE,13,20.3268558419384,17.47,6.62,0.0432
